@00  00
@01  01
@02  0a
@03  02
@04  03
@05  03
@06  04
@07  ff

@08  03
@09  20
@0a  13
@0b  12
@0c  38
@0d  d0
@0e  a0
@0f  90

@10  b7
@11  90
@12  78
@13  d9
@14  e6
@15  89
@16  f2
@17  67

@18  1d
@19  2a
@1a  90
@1b  87
@1c  12
@1d  b3
@1e  8c
@1f  98

@20  ee
@21  df
@22  ae
@23  23
@24  ca
@25  23
@26  4d
@27  32

@28  34
@29  2c
@2a  fe
@2b  b3
@2c  23
@2d  87
@2e  09
@2f  d6

@30  45
@31  3d
@32  ad
@33  fd
@34  cd
@35  34
@36  78
@37  00

@38  78
@39  fd
@3a  bd
@3b  34
@3c  ba
@3d  3b
@3e  cd
@3f  87

@40  ad
@41  23
@42  32
@43  3b
@44  cd
@45  7c
@46  a3
@47  0a

@48  23
@49  5b
@4a  cd
@4b  34
@4c  f6
@4d  3e
@4e  d7
@4f  7a

@50  32
@51  d5
@52  fd
@53  3b
@54  dc
@55  28
@56  d1
@57  a6

@58  23
@59  d5
@5a  7f
@5b  2c
@5c  ab
@5d  2d
@5e  3e
@5f  0a

